criterion,run,agGridVersion,codePass,codeTotal,browserPass,browserTotal,worksButOutdated,deprecatedSymbols,moduleStrategy,editingModel,legacyCss,enableDevValidations,fetchedDocs,ranBuildOrTypecheck,numTurns,costUsd,verifyCodeUsd,verifyBrowserUsd,failedChecks,blocked,_checkIds
app-owned-data-editing,01,36.1.0,7,7,7,7,False,,all-bundle,app-owned (readOnlyEdit + onCellEditRequest),False,False,False,True,31,0.910439,0.34726100000000004,0.700244,,,"[('app-owned-data-editing', 'CODE-1', 'pass'), ('app-owned-data-editing', 'CODE-2', 'pass'), ('app-owned-data-editing', 'CODE-3', 'pass'), ('app-owned-data-editing', 'CODE-4', 'pass'), ('app-owned-data-editing', 'CODE-5', 'pass'), ('app-owned-data-editing', 'CODE-6', 'pass'), ('app-owned-data-editing', 'CODE-7', 'pass'), ('app-owned-data-editing', 'BROWSER-1', 'pass'), ('app-owned-data-editing', 'BROWSER-2', 'pass'), ('app-owned-data-editing', 'BROWSER-3', 'pass'), ('app-owned-data-editing', 'BROWSER-4', 'pass'), ('app-owned-data-editing', 'BROWSER-5', 'pass'), ('app-owned-data-editing', 'BROWSER-6', 'pass'), ('app-owned-data-editing', 'BROWSER-7', 'pass')]"
app-owned-data-editing,02,36.1.0,7,7,7,7,False,,all-bundle,app-owned (readOnlyEdit + onCellEditRequest),False,False,False,True,18,0.505573,0.37848950000000003,0.828169,,,"[('app-owned-data-editing', 'CODE-1', 'pass'), ('app-owned-data-editing', 'CODE-2', 'pass'), ('app-owned-data-editing', 'CODE-3', 'pass'), ('app-owned-data-editing', 'CODE-4', 'pass'), ('app-owned-data-editing', 'CODE-5', 'pass'), ('app-owned-data-editing', 'CODE-6', 'pass'), ('app-owned-data-editing', 'CODE-7', 'pass'), ('app-owned-data-editing', 'BROWSER-1', 'pass'), ('app-owned-data-editing', 'BROWSER-2', 'pass'), ('app-owned-data-editing', 'BROWSER-3', 'pass'), ('app-owned-data-editing', 'BROWSER-4', 'pass'), ('app-owned-data-editing', 'BROWSER-5', 'pass'), ('app-owned-data-editing', 'BROWSER-6', 'pass'), ('app-owned-data-editing', 'BROWSER-7', 'pass')]"
app-owned-data-editing,03,36.1.0,7,7,7,7,False,,all-bundle,app-owned (readOnlyEdit + onCellEditRequest),False,False,False,True,37,1.015015,0.27808849999999996,0.755064,,,"[('app-owned-data-editing', 'CODE-1', 'pass'), ('app-owned-data-editing', 'CODE-2', 'pass'), ('app-owned-data-editing', 'CODE-3', 'pass'), ('app-owned-data-editing', 'CODE-4', 'pass'), ('app-owned-data-editing', 'CODE-5', 'pass'), ('app-owned-data-editing', 'CODE-6', 'pass'), ('app-owned-data-editing', 'CODE-7', 'pass'), ('app-owned-data-editing', 'BROWSER-1', 'pass'), ('app-owned-data-editing', 'BROWSER-2', 'pass'), ('app-owned-data-editing', 'BROWSER-3', 'pass'), ('app-owned-data-editing', 'BROWSER-4', 'pass'), ('app-owned-data-editing', 'BROWSER-5', 'pass'), ('app-owned-data-editing', 'BROWSER-6', 'pass'), ('app-owned-data-editing', 'BROWSER-7', 'pass')]"
cell-editing,01,36.1.0,4,5,6,6,True,,all-bundle,grid-owned then synced (onCellValueChanged),False,False,False,True,28,1.0511750000000002,0.228537,0.8646919999999998,CODE-3,,"[('cell-editing', 'CODE-1', 'pass'), ('cell-editing', 'CODE-2', 'pass'), ('cell-editing', 'CODE-3', 'fail'), ('cell-editing', 'CODE-4', 'pass'), ('cell-editing', 'CODE-5', 'pass'), ('cell-editing', 'BROWSER-1', 'pass'), ('cell-editing', 'BROWSER-2', 'pass'), ('cell-editing', 'BROWSER-3', 'pass'), ('cell-editing', 'BROWSER-4', 'pass'), ('cell-editing', 'BROWSER-5', 'pass'), ('cell-editing', 'BROWSER-6', 'pass')]"
cell-editing,02,36.1.0,4,5,6,6,True,,all-bundle,grid-owned then synced (onCellValueChanged),False,False,False,False,1,2.7249904999999988,0.21187949999999997,1.1718339999999998,CODE-3,,"[('cell-editing', 'CODE-1', 'pass'), ('cell-editing', 'CODE-2', 'pass'), ('cell-editing', 'CODE-3', 'fail'), ('cell-editing', 'CODE-4', 'pass'), ('cell-editing', 'CODE-5', 'pass'), ('cell-editing', 'BROWSER-1', 'pass'), ('cell-editing', 'BROWSER-2', 'pass'), ('cell-editing', 'BROWSER-3', 'pass'), ('cell-editing', 'BROWSER-4', 'pass'), ('cell-editing', 'BROWSER-5', 'pass'), ('cell-editing', 'BROWSER-6', 'pass')]"
cell-editing,03,36.1.0,4,5,6,6,True,,all-bundle,grid-owned then synced (onCellValueChanged),False,False,False,False,7,0.24142200000000003,0.2592155,1.3426144999999996,CODE-3,,"[('cell-editing', 'CODE-1', 'pass'), ('cell-editing', 'CODE-2', 'pass'), ('cell-editing', 'CODE-3', 'fail'), ('cell-editing', 'CODE-4', 'pass'), ('cell-editing', 'CODE-5', 'pass'), ('cell-editing', 'BROWSER-1', 'pass'), ('cell-editing', 'BROWSER-2', 'pass'), ('cell-editing', 'BROWSER-3', 'pass'), ('cell-editing', 'BROWSER-4', 'pass'), ('cell-editing', 'BROWSER-5', 'pass'), ('cell-editing', 'BROWSER-6', 'pass')]"
cell-range-selection,01,36.1.0,5,5,6,6,False,,mixed,grid-owned then synced (onCellValueChanged),False,False,False,True,40,1.6057314999999999,0.25189199999999995,0.8141355,,,"[('cell-range-selection', 'CODE-1', 'pass'), ('cell-range-selection', 'CODE-2', 'pass'), ('cell-range-selection', 'CODE-3', 'pass'), ('cell-range-selection', 'CODE-4', 'pass'), ('cell-range-selection', 'CODE-5', 'pass'), ('cell-range-selection', 'BROWSER-1', 'pass'), ('cell-range-selection', 'BROWSER-2', 'pass'), ('cell-range-selection', 'BROWSER-3', 'pass'), ('cell-range-selection', 'BROWSER-4', 'pass'), ('cell-range-selection', 'BROWSER-5', 'pass'), ('cell-range-selection', 'BROWSER-6', 'pass')]"
cell-range-selection,02,36.1.0,5,5,6,6,False,,mixed,grid-owned then synced (onCellValueChanged),False,False,False,False,46,2.4292754999999997,0.254904,0.7175385000000001,,,"[('cell-range-selection', 'CODE-1', 'pass'), ('cell-range-selection', 'CODE-2', 'pass'), ('cell-range-selection', 'CODE-3', 'pass'), ('cell-range-selection', 'CODE-4', 'pass'), ('cell-range-selection', 'CODE-5', 'pass'), ('cell-range-selection', 'BROWSER-1', 'pass'), ('cell-range-selection', 'BROWSER-2', 'pass'), ('cell-range-selection', 'BROWSER-3', 'pass'), ('cell-range-selection', 'BROWSER-4', 'pass'), ('cell-range-selection', 'BROWSER-5', 'pass'), ('cell-range-selection', 'BROWSER-6', 'pass')]"
cell-range-selection,03,36.1.0,5,5,6,6,False,,mixed,grid-owned then synced (onCellValueChanged),False,False,False,True,47,1.7372019999999995,0.2779135,0.683493,,,"[('cell-range-selection', 'CODE-1', 'pass'), ('cell-range-selection', 'CODE-2', 'pass'), ('cell-range-selection', 'CODE-3', 'pass'), ('cell-range-selection', 'CODE-4', 'pass'), ('cell-range-selection', 'CODE-5', 'pass'), ('cell-range-selection', 'BROWSER-1', 'pass'), ('cell-range-selection', 'BROWSER-2', 'pass'), ('cell-range-selection', 'BROWSER-3', 'pass'), ('cell-range-selection', 'BROWSER-4', 'pass'), ('cell-range-selection', 'BROWSER-5', 'pass'), ('cell-range-selection', 'BROWSER-6', 'pass')]"
column-sizing,01,36.1.0,3,4,5,5,True,,all-bundle,n/a,False,False,False,False,49,2.4766384999999995,0.25218999999999997,0.617464,CODE-3,,"[('column-sizing', 'CODE-1', 'pass'), ('column-sizing', 'CODE-2', 'pass'), ('column-sizing', 'CODE-3', 'fail'), ('column-sizing', 'CODE-4', 'pass'), ('column-sizing', 'BROWSER-1', 'pass'), ('column-sizing', 'BROWSER-2', 'pass'), ('column-sizing', 'BROWSER-3', 'pass'), ('column-sizing', 'BROWSER-4', 'pass'), ('column-sizing', 'BROWSER-5', 'pass')]"
